# French MFA dictionary v3.0.0 (McAuliffe and Sonderegger 2024), CC BY 4.0
# word	class	ipa	dictionary_phones	dictionary_probability
a	auxiliary	a	a	0.99
ai	auxiliary	e	e	0.99
alors	adverb	alɔʁ	a l ɔ ʁ	0.99
après	preposition	apʁɛ	a p ʁ ɛ	0.99
as	auxiliary	a	a	0.99
assez	adverb	ase	a s e	0.99
au	article	o	o	0.99
aucun	negation	okɛ̃	o c ɛ̃	0.99
aucune	negation	okyn	o k y n	0.99
aussi	adverb	osi	o s i	0.99
autre	determiner	otʁə	o t ʁ ə	0.99
autres	determiner	otʁə	o t ʁ ə	0.99
aux	article	o	o	0.99
avant	preposition	avɑ̃	a v ɑ̃	0.99
avec	preposition	avɛk	a v ɛ k	0.99
avez	auxiliary	ave	a v e	0.99
avons	auxiliary	avɔ̃	a v ɔ̃	0.99
bah	discourse	ba	b a	0.99
beaucoup	adverb	boku	b o k u	0.99
ben	discourse	bɛn	b ɛ n	0.99
bien	adverb	bjɛ̃	b j ɛ̃	0.99
bon	discourse	bɔ̃	b ɔ̃	0.99
bonjour	discourse	bɔ̃ʒuʁ	b ɔ̃ ʒ u ʁ	0.99
bonsoir	discourse	bɔ̃swaʁ	b ɔ̃ s w a ʁ	0.99
bref	discourse	bʁɛf	b ʁ ɛ f	0.99
car	conjunction	kaʁ	k a ʁ	0.99
ce	pronoun	sə	s ə	0.99
ceci	pronoun	səsi	s ə s i	0.99
cela	pronoun	səla	s ə l a	0.99
celle	pronoun	sɛl	s ɛ l	0.99
celles	pronoun	sɛl	s ɛ l	0.99
celui	pronoun	səlɥi	s ə l ɥ i	0.99
cent	number	sɑ̃	s ɑ̃	0.99
ces	determiner	se	s e	0.99
cet	determiner	sɛt	s ɛ t	0.99
cette	determiner	sɛt	s ɛ t	0.99
ceux	pronoun	sø	s ø	0.99
chaque	determiner	ʃak	ʃ a k	0.99
chez	preposition	ʃe	ʃ e	0.99
cinq	number	sɛ̃k	s ɛ̃ k	0.99
comme	conjunction	kɔm	k ɔ m	0.99
contre	preposition	kɔ̃tʁ	k ɔ̃ t ʁ	0.99
dans	preposition	dɑ̃	d ɑ̃	0.99
de	preposition	də	d ə	0.99
demain	adverb	dəmɛ̃	d ə m ɛ̃	0.99
depuis	preposition	dəpɥi	d ə p ɥ i	0.99
derrière	preposition	dɛʁjɛʁ	d ɛ ʁ j ɛ ʁ	0.99
des	article	de	d e	0.99
deux	number	dø	d ø	0.99
devant	preposition	dəvɑ̃	d ə v ɑ̃	0.99
dix	number	dis	d i s	0.99
donc	conjunction	dɔ̃k	d ɔ̃ k	0.99
dont	pronoun	dɔ̃	d ɔ̃	0.99
du	article	dy	d y	0.99
déjà	adverb	deʒa	d e ʒ a	0.99
désolé	discourse	dezɔle	d e z ɔ l e	0.99
elle	pronoun	ɛl	ɛ l	0.99
elles	pronoun	ɛl	ɛ l	0.99
en	preposition	ɑ̃	ɑ̃	0.99
encore	adverb	ɑ̃kɔʁ	ɑ̃ k ɔ ʁ	0.99
enfin	adverb	ɑ̃fɛ̃	ɑ̃ f ɛ̃	0.99
ensuite	adverb	ɑ̃sɥit	ɑ̃ s ɥ i t	0.99
entre	preposition	ɑ̃tʁə	ɑ̃ t ʁ ə	0.99
es	auxiliary	ɛ	ɛ	0.99
