a	a
ai	e
alors	alɔʁ
après	apʁɛ
as	a
assez	ase
au	o
aucun	okɛ̃
aucune	okyn
aussi	osi
autre	otʁə
autres	otʁə
aux	o
avant	avɑ̃
avec	avɛk
avez	ave
avons	avɔ̃
bah	ba
beaucoup	boku
ben	bɛn
bien	bjɛ̃
bon	bɔ̃
bonjour	bɔ̃ʒuʁ
bonsoir	bɔ̃swaʁ
bref	bʁɛf
car	kaʁ
ce	sə
ceci	səsi
cela	səla
celle	sɛl
celles	sɛl
celui	səlɥi
cent	sɑ̃
ces	se
cet	sɛt
cette	sɛt
ceux	sø
chaque	ʃak
chez	ʃe
cinq	sɛ̃k
comme	kɔm
contre	kɔ̃tʁ
dans	dɑ̃
de	də
demain	dəmɛ̃
depuis	dəpɥi
derrière	dɛʁjɛʁ
des	de
deux	dø
devant	dəvɑ̃
dix	dis
donc	dɔ̃k
dont	dɔ̃
du	dy
déjà	deʒa
désolé	dezɔle
elle	ɛl
elles	ɛl
en	ɑ̃
encore	ɑ̃kɔʁ
enfin	ɑ̃fɛ̃
ensuite	ɑ̃sɥit
entre	ɑ̃tʁə
es	ɛ
est	ɛ
et	e
euh	œ
eux	ø
exactement	ɛɡzaktəmɑ̃
franchement	fʁɑ̃ʃmɑ̃
grave	ɡʁav
hein	ɛ̃
hier	ijɛʁ
huit	ɥit
ici	isi
il	il
ils	il
jamais	ʒamɛ
je	ʒə
justement	ʒystəmɑ̃
la	la
laquelle	lakɛl
le	lø
lequel	ləkɛl
les	le
leur	lœʁ
leurs	lœʁ
loin	lwɛ̃
lorsque	lɔʁsk
lui	lɥi
là	la
ma	ma
maintenant	mɛ̃tnɑ̃
mais	mɛ
mal	mal
malgré	malɡʁe
me	mø
merci	mɛʁsi
mes	me
mille	mil
moi	mwa
mon	mɔ̃
même	mɛm
ne	nə
neuf	nœf
ni	ɲi
non	nɔ̃
normal	nɔʁmal
normalement	nɔʁmalmɑ̃
nos	no
notre	nɔtʁə
nous	nu
ok	ok
on	ɔ̃
ont	ɔ̃
or	ɔʁ
ou	u
oui	wi
où	u
par	paʁ
parce	paʁs
pardon	paʁdɔ̃
parfois	paʁfwa
pas	pa
pendant	pɑ̃dɑ̃
personne	pɛʁsɔn
peu	pø
plaît	plɛ
plus	ply
plusieurs	plyzjœʁ
pour	puʁ
presque	pʁɛsk
près	pʁɛ
puis	pɥi
puisque	pɥisk
quand	kɑ̃
quatre	katʁə
que	kə
quel	kɛl
quelle	kɛl
quelque	kɛlkə
quelques	kɛlk
qui	ki
quoi	kwa
revoir	ʁəvwaʁ
rien	ʁjɛ̃
sa	sa
salut	saly
sans	sɑ̃
se	sə
selon	səlɔ̃
sept	sɛt
ses	se
seulement	sœlmɑ̃
si	si
six	si
soi	swa
sommes	sɔm
son	sɔ̃
sont	sɔ̃
sous	su
souvent	suvɑ̃
suis	sɥi
sur	syʁ
sûr	syʁ
ta	ta
tard	taʁ
te	tə
tes	te
toi	twa
ton	tɔ̃
toujours	tuʒuʁ
tous	tu
tout	tu
toute	tut
toutes	tut
trois	tʁwɑ
trop	tʁo
très	tʁɛ
tu	ty
tôt	to
un	ɛ̃
une	yn
vers	vɛʁ
vingt	vɛ̃
vite	vit
voilà	vwala
vos	vo
votre	vɔtʁə
vous	vu
vraiment	vʁɛmɑ̃
y	i
zéro	zeʁo
à	a
ça	sa
était	etɛ
êtes	ɛt
