latin	arabic_form	form_kind	source_url	date_read	fetch_sha256	domain	market	licence	cldr_key
g-force	قوة تسارع	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/acceleration-g-force/displayName
meters per second squared	متر في الثانية المربعة	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/acceleration-meter-per-square-second/displayName
revolutions	دورة	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/angle-revolution/displayName
radians	راديان	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/angle-radian/displayName
degrees	درجة	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/angle-degree/displayName
arcminutes	دقيقة قوسية	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/angle-arc-minute/displayName
arcseconds	ثانية قوسية	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/angle-arc-second/displayName
square kilometers	كيلومتر مربع	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/area-square-kilometer/displayName
hectares	هكتار	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/area-hectare/displayName
square meters	متر مربع	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/area-square-meter/displayName
square centimeters	سنتيمتر مربع	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/area-square-centimeter/displayName
square miles	ميل مربع	cldr-unit	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-units-full/main/ar/units.json	2026-09-20	3a24bb442e133ea9ed43bfa71732e6969ea189eefa90e381054aaa877ce39237	units	world	Unicode-3.0	units/long/area-square-mile/displayName
